date,division,index
1986-12-01,05,68.8
1986-12-01,06,52.8
1986-12-01,08,
1986-12-01,overall,52.2
1986-12-01,10,
1986-12-01,11,
1986-12-01,02,30.0
1986-12-01,01,41.4
1986-12-01,12,
1986-12-01,03,105.5
1986-12-01,13,
1987-01-01,09,72.4
1987-01-01,11,
1987-01-01,01,41.2
1987-01-01,07,47.9
1987-01-01,06,52.9
1987-01-01,10,
1987-01-01,03,105.4
1987-01-01,04,68.3
1987-01-01,08,
1987-01-01,02,30.0
1987-01-01,12,
1987-01-01,05,69.0
1987-01-01,13,
1987-01-01,overall,52.1
1987-02-01,11,
1987-02-01,01,41.1
1987-02-01,05,69.0
1987-02-01,12,
1987-02-01,09,72.7
1987-02-01,13,
1987-02-01,04,68.3
1987-02-01,08,
1987-02-01,03,105.5
1987-02-01,10,
1987-02-01,06,52.9
1987-02-01,07,48.1
1987-02-01,overall,52.1
1987-02-01,02,30.1
1987-03-01,09,72.7
1987-03-01,overall,51.8
1987-03-01,03,105.6
1987-03-01,01,40.7
1987-03-01,04,68.3
1987-03-01,06,53.0
1987-03-01,10,
1987-03-01,12,
1987-03-01,11,
1987-03-01,13,
1987-03-01,08,
1987-03-01,05,69.0
1987-03-01,02,30.1
1987-03-01,07,47.9
1987-04-01,13,
1987-04-01,02,30.1
1987-04-01,03,105.7
1987-04-01,09,74.3
1987-04-01,06,53.0
1987-04-01,overall,52.1
1987-04-01,01,40.8
1987-04-01,05,69.2
1987-04-01,12,
1987-04-01,08,
1987-04-01,11,
1987-04-01,07,48.2
1987-04-01,04,68.3
1987-04-01,10,
1987-05-01,04,68.3
1987-05-01,09,74.3
1987-05-01,overall,52.2
1987-05-01,11,
1987-05-01,12,
1987-05-01,06,53.0
1987-05-01,03,105.7
1987-05-01,10,
1987-05-01,01,40.9
1987-05-01,07,48.4
1987-05-01,05,69.3
1987-05-01,02,30.1
1987-05-01,08,
1987-05-01,13,
1987-06-01,11,
1987-06-01,03,105.8
1987-06-01,05,69.4
1987-06-01,06,53.0
1987-06-01,07,48.6
1987-06-01,01,41.1
1987-06-01,08,
1987-06-01,12,
1987-06-01,04,68.3
1987-06-01,10,
1987-06-01,13,
1987-06-01,09,74.3
1987-06-01,02,30.1
1987-06-01,overall,52.3
1987-07-01,02,30.1
1987-07-01,09,74.5
1987-07-01,11,
1987-07-01,04,67.5
1987-07-01,overall,52.2
1987-07-01,08,
1987-07-01,13,
1987-07-01,06,53.1
1987-07-01,01,40.9
1987-07-01,12,
1987-07-01,05,69.4
1987-07-01,03,105.9
1987-07-01,10,
1987-07-01,07,48.8
1987-08-01,10,
1987-08-01,12,
1987-08-01,05,69.5
1987-08-01,11,
1987-08-01,04,67.5
1987-08-01,overall,52.3
1987-08-01,07,48.9
1987-08-01,01,41.0
1987-08-01,03,106.0
1987-08-01,06,53.1
1987-08-01,08,
1987-08-01,13,
1987-08-01,09,74.5
1987-08-01,02,30.1
1987-09-01,06,53.1
1987-09-01,13,
1987-09-01,10,
1987-09-01,02,30.1
1987-09-01,overall,52.3
1987-09-01,09,74.7
1987-09-01,12,
1987-09-01,05,69.5
1987-09-01,07,49.0
1987-09-01,08,
1987-09-01,03,106.0
1987-09-01,04,67.5
1987-09-01,11,
1987-09-01,01,41.0
1987-10-01,10,
1987-10-01,11,
1987-10-01,06,53.2
1987-10-01,13,
1987-10-01,03,106.3
1987-10-01,04,67.5
1987-10-01,01,41.2
1987-10-01,08,
1987-10-01,overall,52.4
1987-10-01,05,69.6
1987-10-01,12,
1987-10-01,09,74.8
1987-10-01,02,30.1
1987-10-01,07,49.0
1987-11-01,11,
1987-11-01,12,
1987-11-01,04,67.5
1987-11-01,05,69.7
1987-11-01,13,
1987-11-01,06,53.2
1987-11-01,09,74.9
1987-11-01,03,106.3
1987-11-01,07,49.1
1987-11-01,02,30.2
1987-11-01,10,
1987-11-01,01,41.3
1987-11-01,overall,52.5
1987-11-01,08,
1987-12-01,08,
1987-12-01,12,
1987-12-01,10,
1987-12-01,02,30.2
1987-12-01,03,106.4
1987-12-01,11,
1987-12-01,overall,52.7
1987-12-01,13,
1987-12-01,09,74.8
1987-12-01,04,67.5
1987-12-01,05,69.7
1987-12-01,07,49.1
1987-12-01,06,53.5
1987-12-01,01,42.0
1988-01-01,08,
1988-01-01,05,70.0
1988-01-01,01,42.1
1988-01-01,12,
1988-01-01,10,
1988-01-01,13,
1988-01-01,02,30.2
1988-01-01,09,74.9
1988-01-01,06,53.6
1988-01-01,overall,52.8
1988-01-01,03,107.0
1988-01-01,04,66.9
1988-01-01,11,
1988-01-01,07,49.7
1988-02-01,05,70.1
1988-02-01,12,
1988-02-01,07,49.6
1988-02-01,11,
1988-02-01,03,107.3
1988-02-01,02,30.2
1988-02-01,06,53.7
1988-02-01,13,
1988-02-01,01,42.2
1988-02-01,08,
1988-02-01,09,75.1
1988-02-01,10,
1988-02-01,04,66.9
1988-02-01,overall,52.9
1988-03-01,11,
1988-03-01,07,50.1
1988-03-01,01,42.2
1988-03-01,02,30.2
1988-03-01,06,53.7
1988-03-01,03,107.5
1988-03-01,overall,53.0
1988-03-01,12,
1988-03-01,04,67.0
1988-03-01,05,70.4
1988-03-01,10,
1988-03-01,09,75.2
1988-03-01,08,
1988-03-01,13,
1988-04-01,12,
1988-04-01,07,50.6
1988-04-01,01,41.8
1988-04-01,11,

... [Content truncated, total 147,856 chars] ...
