series,date,exports,exports_domestic,re_exports,imports,imports_retained,total,balance
growth_yoy,2010-04-01,26.0,24.2,67.0,26.7,24.5,26.3,23.1
growth_mom,2010-04-01,-12.7,-12.9,-8.3,-5.2,-5.0,-9.5,-36.1
abs,2010-05-01,52289540476.0,49386602955.0,2902937521.0,44093839779.0,41190902258.0,96383380255.0,8195700697.0
growth_yoy,2010-05-01,21.3,20.5,37.5,33.6,33.4,26.7,-18.9
growth_mom,2010-05-01,0.8,0.9,-0.8,3.2,3.5,1.9,-10.8
abs,2010-06-01,52785411913.0,49742994560.0,3042417353.0,46743711854.0,43701294501.0,99529123767.0,6041700059.0
growth_yoy,2010-06-01,16.3,14.8,48.0,29.9,28.8,22.3,-35.7
growth_mom,2010-06-01,0.9,0.7,4.8,6.0,6.1,3.3,-26.3
abs,2010-07-01,55329798346.0,51862390133.0,3467408213.0,48386135154.0,44918726941.0,103715933500.0,6943663192.0
growth_yoy,2010-07-01,12.2,11.3,28.1,18.0,17.3,14.9,-16.6
growth_mom,2010-07-01,4.8,4.3,14.0,3.5,2.8,4.2,14.9
abs,2010-08-01,52795410850.0,49961536943.0,2833873907.0,44522912597.0,41689038690.0,97318323447.0,8272498253.0
growth_yoy,2010-08-01,9.3,9.1,13.9,16.4,16.6,12.4,-17.6
growth_mom,2010-08-01,-4.6,-3.7,-18.3,-8.0,-7.2,-6.2,19.1
abs,2010-09-01,50321711031.0,47731057193.0,2590653838.0,43462698542.0,40872044704.0,93784409573.0,6859012489.0
growth_yoy,2010-09-01,5.3,4.6,20.0,14.5,14.2,9.4,-30.1
growth_mom,2010-09-01,-4.7,-4.5,-8.6,-2.4,-2.0,-3.6,-17.1
abs,2010-10-01,54903920167.0,51682525493.0,3221394674.0,48123330374.0,44901935700.0,103027250541.0,6780589793.0
growth_yoy,2010-10-01,0.4,0.6,-3.3,12.4,13.8,5.7,-42.9
growth_mom,2010-10-01,9.1,8.3,24.3,10.7,9.9,9.9,-1.1
abs,2010-11-01,52637383728.0,49748636756.0,2888746972.0,43699771253.0,40811024281.0,96337154981.0,8937612475.0
growth_yoy,2010-11-01,5.1,4.8,10.8,6.3,6.0,5.6,-0.4
growth_mom,2010-11-01,-4.1,-3.7,-10.3,-9.2,-9.1,-6.5,31.8
abs,2010-12-01,57261799111.0,54016458278.0,3245340833.0,47476593113.0,44231252280.0,104738392224.0,9785205998.0
growth_yoy,2010-12-01,4.6,4.3,9.8,11.7,11.8,7.7,-19.9
growth_mom,2010-12-01,8.8,8.6,12.3,8.6,8.4,8.7,9.5
abs,2011-01-01,54683016662.0,51364385423.0,3318631239.0,44904001493.0,41585370254.0,99587018155.0,9779015169.0
growth_yoy,2011-01-01,4.1,3.0,25.6,13.8,13.0,8.3,-25.2
growth_mom,2011-01-01,-4.5,-4.9,2.3,-5.4,-6.0,-4.9,-0.1
abs,2011-02-01,50073854166.0,47081869493.0,2991984673.0,39232560871.0,36240576198.0,89306415037.0,10841293295.0
growth_yoy,2011-02-01,7.4,7.2,10.6,11.8,11.9,9.2,-6.0
growth_mom,2011-02-01,-8.4,-8.3,-9.8,-12.6,-12.9,-10.3,10.9
abs,2011-03-01,62478547229.0,58886447437.0,3592099792.0,50645016733.0,47052916941.0,113123563962.0,11833530496.0
growth_yoy,2011-03-01,5.1,4.7,12.6,12.4,12.4,8.3,-17.7
growth_mom,2011-03-01,24.8,25.1,20.1,29.1,29.8,26.7,9.2
abs,2011-04-01,58315213638.0,54943265358.0,3371948280.0,46777824113.0,43405875833.0,105093037751.0,11537389525.0
growth_yoy,2011-04-01,12.4,12.2,15.3,9.5,9.1,11.1,25.6
growth_mom,2011-04-01,-6.7,-6.7,-6.1,-7.6,-7.8,-7.1,-2.5
abs,2011-05-01,55354448687.0,51915799737.0,3438648950.0,46604122525.0,43165473575.0,101958571212.0,8750326162.0
growth_yoy,2011-05-01,5.9,5.1,18.5,5.7,4.8,5.8,6.8
growth_mom,2011-05-01,-5.1,-5.5,2.0,-0.4,-0.6,-3.0,-24.2
abs,2011-06-01,59050183477.0,55296353435.0,3753830042.0,50340683663.0,46586853621.0,109390867140.0,8709499814.0
growth_yoy,2011-06-01,11.9,11.2,23.4,7.7,6.6,9.9,44.2
growth_mom,2011-06-01,6.7,6.5,9.2,8.0,7.9,7.3,-0.5
abs,2011-07-01,59656829344.0,55981305442.0,3675523902.0,49780890765.0,46105366863.0,109437720109.0,9875938579.0
growth_yoy,2011-07-01,7.8,7.9,6.0,2.9,2.6,5.5,42.2
growth_mom,2011-07-01,1.0,1.2,-2.1,-1.1,-1.0,0.0,13.4
abs,2011-08-01,58622809123.0,54898737772.0,3724071351.0,47549200486.0,43825129135.0,106172009609.0,11073608637.0
growth_yoy,2011-08-01,11.0,9.9,31.4,6.8,5.1,9.1,33.9
growth_mom,2011-08-01,-1.7,-1.9,1.3,-4.5,-4.9,-3.0,12.1
abs,2011-09-01,58695595436.0,54812950206.0,3882645230.0,49043309539.0,45160664309.0,107738904975.0,9652285897.0
growth_yoy,2011-09-01,16.6,14.8,49.9,12.8,10.5,14.9,40.7
growth_mom,2011-09-01,0.1,-0.2,4.3,3.1,3.0,1.5,-12.8
abs,2011-10-01,63347032594.0,58350355726.0,4996676868.0,48939877454.0,43943200586.0,112286910048.0,14407155140.0
growth_yoy,2011-10-01,15.4,12.9,55.1,1.7,-2.1,9.0,112.5
growth_mom,2011-10-01,7.9,6.5,28.7,-0.2,-2.7,4.2,49.3
abs,2011-11-01,56820840954.0,52405395287.0,4415445667.0,47357700898.0,42942255231.0,104178541852.0,9463140056.0
growth_yoy,2011-11-01,7.9,5.3,52.8,8.4,5.2,8.1,5.9
growth_mom,2011-11-01,-10.3,-10.2,-11.6,-3.2,-2.3,-7.2,-34.3
abs,2011-12-01,60763566000.0,56374122231.0,4389443769.0,52451137812.0,48061694043.0,113214703812.0,8312428188.0
growth_yoy,2011-12-01,6.1,4.4,35.3,10.5,8.7,8.1,-15.1
growth_mom,2011-12-01,6.9,7.6,-0.6,10.8,11.9,8.7,-12.2
abs,2012-01-01,55113798764.0,51007415198.0,4106383566.0,46299370760.0,42192987194.0,101413169524.0,8814428004.0
growth_yoy,2012-01-01,0.8,-0.7,23.7,3.1,1.5,1.8,-9.9
growth_mom,2012-01-01,-9.3,-9.5,-6.4,-11.7,-12.2,-10.4,6.0
abs,2012-02-01,56960978238.0,52720667520.0,4240310718.0,46281107551.0,42040796833.0,103242085789.0,10679870687.0
growth_yoy,2012-02-01,13.8,12.0,41.7,18.0,16.0,15.6,-1.5
growth_mom,2012-02-01,3.4,3.4,3.3,-0.0,-0.4,1.8,21.2
abs,2012-03-01,62004146713.0,56552699233.0,5451447480.0,51331419683.0,45879972203.0,113335566396.0,10672727030.0
growth_yoy,2012-03-01,-0.8,-4.0,51.8,1.4,-2.5,0.2,-9.8
growth_mom,2012-03-01,8.9,7.3,28.6,10.9,9.1,9.8,-0.1
abs,2012-04-01,57876348153.0,52865978924.0,5010369229.0,50222817660.0,45212448431.0,108099165813.0,7653530493.0
growth_yoy,2012-04-01,-0.8,-3.8,48.6,7.4,4.2,2.9,-33.7
growth_mom,2012-04-01,-6.7,-6.5,-8.1,-2.2,-1.5,-4.6,-28.3
abs,2012-05-01,58930911972.0,53863945518.0,5066966454.0,54166561790.0,49099595336.0,113097473762.0,4764350182.0
growth_yoy,2012-05-01,6.5,3.8,47.4,16.2,13.7,10.9,-45.6
growth_mom,2012-05-01,1.8,1.9,1.1,7.9,8.6,4.6,-37.7
abs,2012-06-01,61059412421.0,54981621016.0,6077791405.0,51770512288.0,45692720883.0,112829924709.0,9288900133.0
growth_yoy,2012-06-01,3.4,-0.6,61.9,2.8,-1.9,3.1,6.7
