reg_no,product,description,holder,manufacturer,date_reg,date_end
MAL20122275HAE,TYLONSULFA,VETERINARY ,Excelcrop Sdn Bhd,Excelcrop Sdn Bhd,2012-11-29,2017-11-30
MAL20122276HAE,TYLONSULFA PLUS (+),VETERINARY ,Excelcrop Sdn Bhd,Excelcrop Sdn Bhd,2012-11-29,2017-11-30
MAL12125009TC,BIO NICE MISTURA LONG DAN XIE GAN,NATURAL PRODUCT,Bio Nice Herbal World Sdn Bhd,BIO NICE INDUSTRY SDN BHD,2012-12-27,2017-12-27
MAL12125025TC,Leong Tuck Thong Du Tong Powder,NATURAL PRODUCT,Leong Tuck Thong Enterprise,TST BIOCEUTICAL SDN. BHD.,2012-12-27,2017-12-27
MAL12125011T,HERBA KECI BELING DAN MELADA PAHIT,NATURAL PRODUCT,FADHILAT HERBS ENTERPRISE,FADHILAT HERBS ENTERPRISE,2012-12-27,2017-12-27
MAL12125006TC,Livyoung Noni Essence,NATURAL PRODUCT,livyoung lifestyle sdn. bhd.,Sky Nutraceuticals Sdn. Bhd.,2012-12-27,2017-12-27
MAL12125007TC,STYLIZE,NATURAL PRODUCT,Perfect Nutrients Sdn Bhd,BIOALPHA INTERNATIONAL SDN BHD,2012-12-27,2017-12-27
MAL20031860T,MINYAK SERI KAYU PUTIH PLUS,NATURAL PRODUCT,PENAWAR INDUSTRIES SDN. BHD.,PENAWAR INDUSTRIES SDN. BHD.,2012-12-29,2017-12-29
MAL19973751XZ,CHEWABLE C 500MG TANGY ORANGE TABLET,HEALTH SUPPLEMENT,NUVANTA SDN. BHD.,NATURAL FACTORS NUTRITIONAL PRODUCTS LTD,2013-01-02,2018-01-02
MAL19973750X,"CALCIUM AND MAGNESIUM PLUS C,POTASSIUM AND ZINC TABLET",HEALTH SUPPLEMENT,NUVANTA SDN. BHD.,NATURAL FACTORS NUTRITIONAL PRODUCTS LTD,2013-01-02,2018-01-02
MAL19950860T,DOUBLE DRAGON MEDICAL OIL (LINIMENT),NATURAL PRODUCT,DOUBLE DRAGON MEDICATED OIL,DOUBLE DRAGON MEDICATED OIL,2013-01-05,2018-01-05
MAL13015058NC,APPETON Essentials Multi-Vit plus,HEALTH SUPPLEMENT,KOTRA PHARMA (M) SDN. BHD.,PT. Bintang Toedjoe,2013-01-23,2018-01-23
MAL20032102T,SHANG FENG WAN 500,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2013-01-26,2018-01-26
MAL19984009X,KLEAN & KARE NORMAL SALINE SOLN FOR IRRIGATION,NON PRESCRIPTION,MEDICOPTIC SUPPLIES SDN. BHD.,A.N.B. LABS,2013-01-26,2018-01-26
MAL20032057TC,YIK SHEN TABLET,NATURAL PRODUCT,KUIK CORPORATION SDN BHD,WHITE HERON PHARMACEUTICAL SDN. BHD.,2013-01-26,2018-01-26
MAL08010739AZ,Efaclor 187mg/5ml Granules For Oral Suspension,PRESCRIPTION,Duopharma Marketing Sdn. Bhd.,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,2013-02-01,2018-02-01
MAL08010683AZ,Potassium Chloride 2mEq/mL Solution For I.V. Injection,PRESCRIPTION,POLYLAB BIOTECH SDN. BHD.,EURO-MED LABS PHIL.INC,2013-02-01,2018-02-01
MAL08010774TCS,Nutravite MacaMax Capsule 400mg,NATURAL PRODUCT,NUTRA SOURCE SDN. BHD.,TST BIOCEUTICAL SDN. BHD.,2013-02-01,2018-02-01
